ID,MARKA,MODEL,DLUGOSC,ILOSC,POZIOM,PLEC,WAGA_MIN,WAGA_MAX,WZROST_MIN,WZROST_MAX,PRZEZNACZENIE,ATUTY,ROK,KOD
1,KNEISSL,MY STAR XC,144,1,4K,K,55,90,155,165,SLG,,2024,A01364
2,KNEISSL,MY STAR XC,144,1,4K,K,55,90,155,165,SLG,,2024,A00922
3,ATOMIC,CLOUD Q14 REVOSHOCK,144,1,6K,K,60,90,155,165,SLG,C,2025,A00928
4,ATOMIC,CLOUD Q14 REVOSHOCK,144,1,6K,K,60,90,155,165,SLG,C,2025,A00963
5,AK,PINK,146,1,5K,K,50,90,156,166,SLG,,2025,A00924
6,AK,PINK,146,1,5K,K,50,90,156,166,SLG,,2025,A00925
7,ATOMIC,CLOUD C14 REVOSHOCK,147,1,6K,K,60,90,157,167,SLG,C,2025,A00926
8,VOLKL,FLAIR SC CARBON,148,1,5K,K,50,90,158,168,SL,,2025,A00927
9,HEAD,WC REBELS e.XSR,149,1,5M/6K,U,50,100,159,169,SL,C,2025,NO_CODE_6
10,SALOMON,ADDIKT PRO,149,1,5M/6K,U,60,120,164,169,SL,,2024,NO_CODE_7
11,FISCHER,RC4 SC,150,1,6M,M,60,120,165,170,SL,,2024,B1247
12,FISCHER,RC4 SC,150,1,6M,M,60,120,165,170,SL,,2024,B1250
13,FISCHER,RC4 SC,150,1,6M,M,60,120,165,170,SL,,2024,B1256
14,SALOMON,S/MAX N8 W,150,1,4K,K,50,90,160,170,SLG,C,2025,59600
15,SALOMON,S/MAX N8 W,150,1,4K,K,50,90,160,170,SLG,C,2025,59613
16,SALOMON,S/MAX N8 W,150,1,4K,K,50,90,160,170,SLG,C,2025,59624
17,ATOMIC,CLOUD C9,150,1,4K,K,50,90,160,170,SLG,C,2025,59859
18,VOLKL,RACETIGER SL,150,1,6M,M,60,120,165,170,SL,,2024,A00932
19,GRENZWERTIG,LIMITLESS,151,1,4M/6K,U,55,90,160,170,SLG,C,2024,A00931
20,KNEISSL,MY STAR XC,152,1,4K,K,55,90,162,172,SLG,,2024,A00930
21,KNEISSL,MY STAR XC,152,1,4K,K,55,90,162,172,SLG,,2024,A00938
22,KNEISSL,MY STAR XC,152,1,4K,K,55,90,162,172,SLG,,2024,A00937
23,KNEISSL,MY STAR XC,152,1,4K,K,55,90,162,172,SLG,,2024,A00936
24,ATOMIC,CLOUD Q14 REVOSHOCK,152,1,6K,K,60,90,162,172,SLG,C,2025,A00935
25,ATOMIC,REDSTER Q9 REVOSHOCK,152,1,6M,M,60,120,162,172,SLG,C,2025,A00942
26,ROSSIGNOL,NOVA 10 TI,153,1,6K,K,55,90,163,173,SLG,C,2024,A00934
27,ROSSIGNOL,NOVA 10 TI,153,1,6K,K,55,90,163,173,SLG,C,2024,A00933
28,VOLKL,FLAIR SC CARBON,153,1,5K,K,50,90,168,173,SL,,2025,A00941
29,VOLKL,FLAIR SC CARBON,153,1,5K,K,50,90,168,173,SL,,2025,A00940
30,VOLKL,RACETIGER SRC,153,1,4M/5K,U,50,90,163,173,SLG,C,2025,FL16
31,ATOMIC,CLOUD C12 REVOSHOCK,154,1,5K,K,50,90,164,174,SLG,,2025,A00939
32,ATOMIC,CLOUD C12 REVOSHOCK,154,1,5K,K,50,90,164,174,SLG,,2025,A00867
33,ATOMIC,CLOUD C14 REVOSHOCK,154,1,6K,K,60,90,164,174,SLG,C,2025,A00868
34,ATOMIC,CLOUD C14 REVOSHOCK,154,1,6K,K,60,90,164,174,SLG,C,2025,A00945
35,BLIZZARD,FIREBIRD TI 71,154,1,4M/5K,U,50,100,164,174,SLG,C,2024,A00944
36,BLIZZARD,FIREBIRD TI 71,154,1,4M/5K,U,50,100,164,174,SLG,C,2024,A00943
37,SALOMON,S/MAX N8 W,155,1,4K,K,50,90,165,175,SLG,C,2024,59628
38,SALOMON,S/MAX N8 W,155,1,4K,K,50,90,165,175,SLG,C,2024,49213
39,SALOMON,S/MAX N8 W,155,1,4K,K,50,90,165,175,SLG,C,2024,49215
40,SALOMON,S/MAX N8 W,155,1,4K,K,50,90,165,175,SLG,C,2024,50058
41,ATOMIC,REDSTER S9i REVOSHOCK,155,1,6M,M,60,120,170,175,SL,,2025,NO_CODE_23
42,KASTLE,RX 12 SL,155,1,6M,M,55,120,170,175,SL,,2025,A00869
43,NORDICA,DOBERMANN SLR,155,1,6M,M,60,120,170,175,SL,,2025,B2475
44,SALOMON,E S/MAX 24 ENDURANCE,155,4,4M/5K,U,50,100,165,175,SLG,C,2025,NO_CODE_26
45,HEAD,WC REBELS e.XSR,156,2,5M/6K,U,50,100,166,176,SL,C,2025,NO_CODE_27
46,SALOMON,ADDIKT PRO,156,1,5M/6K,U,60,120,170,176,SL,,2024,NO_CODE_28
47,ATOMIC,REDSTER S7,156,1,4M/5K,U,55,90,166,176,SL,,2024,A01134
48,HEAD,SX BLACK EDITION,156,1,4M/5K,U,50,90,166,176,SLG,C,2024,A01133
49,MOLITOR,MASTER M2,156,1,5M/6K,U,55,120,171,176,SL,,2025,B1066
50,MOLITOR,MASTER M2,156,1,5M/6K,U,55,120,171,176,SL,,2025,AUTO_31_2
51,MAGNUM,magnum,156,1,6M,M,55,120,170,176,SL,C,2025,NO_CODE_32
52,KASTLE,MX 74,157,1,4M/5K,U,55,120,167,177,SLG,C,2025,A00872
53,VOLKL,RACETIGER SRC,158,1,4M/5K,U,50,90,168,178,SLG,C,2025,FL19
54,VOLKL,FLAIR SC CARBON,158,1,5K,K,50,90,173,178,SL,,2025,A00873
55,ROSSIGNOL,HERO ELITE MT CARBON,159,1,6M,M,60,120,169,179,SLG,C,2025,A00874
56,BLIZZARD,FIREBIRD TI 71,160,1,4M/5K,U,50,100,170,180,SLG,C,2024,A01137
57,BLIZZARD,FIREBIRD TI 71,160,1,4M/5K,U,50,100,170,180,SLG,C,2024,GB19
58,BLIZZARD,FIREBIRD TI 71,160,1,4M/5K,U,50,100,170,180,SLG,C,2024,A01138
59,FISCHER,RC4 POWER,160,1,5M/6K,U,50,100,170,180,SLG,,2024,A01139
60,FISCHER,RC4 POWER,160,1,5M/6K,U,50,100,170,180,SLG,,2024,A01136
61,BLIZZARD,FIREBIRD TI,160,1,4M/5K,U,50,100,170,180,SLG,C,2025,FO08
62,BLIZZARD,FIREBIRD TI,160,1,4M/5K,U,50,100,170,180,SLG,C,2025,BQ35
63,VOLKL,RACETIGER SC,160,1,5M/6K,U,60,120,175,180,SL,,2024,A01140
64,VOLKL,RACETIGER SC,160,1,5M/6K,U,60,120,175,180,SL,,2024,A01141
65,SALOMON,E S/MAX 24 ENDURANCE,160,5,4M/5K,U,50,100,170,180,SLG,C,2025,NO_CODE_41
66,SALOMON,S/MAX N8 W,160,1,4K,K,50,90,170,180,SLG,C,2025,A00875
67,NORDICA,DOBERMANN MULTIGARA DC,160,1,6M,M,60,120,170,180,SLG,,2025,B2465
68,ATOMIC,REDSTER Q9 REVOSHOCK,160,1,6M,M,60,120,170,180,SLG,C,2025,A00876
69,ATOMIC,CLOUD Q14 REVOSHOCK,160,1,6K,K,60,90,170,180,SLG,C,2025,A00877
70,VOLKL,RACETIGER SL,160,1,6M,M,60,120,175,180,SL,,2024,A00878
71,HEAD,WC REBELS e-SL,160,1,6M,M,60,120,175,180,SL,,2025,NO_CODE_47
72,ATOMIC,CLOUD C14 REVOSHOCK,161,1,6K,K,60,90,171,181,SLG,C,2025,A00879
73,ATOMIC,CLOUD C14 REVOSHOCK,161,1,6K,K,60,90,171,181,SLG,C,2025,A00880
74,ATOMIC,CLOUD C12 REVOSHOCK,161,1,5K,K,50,90,171,181,SLG,,2025,A00881
75,ATOMIC,CLOUD C12 REVOSHOCK,161,1,5K,K,50,90,171,181,SLG,,2025,53399
76,MOLITOR,RELEASE R2,162,1,5M,M,55,120,172,182,SLG,,2025,B1046
77,MOLITOR,RELEASE R2,162,1,5M,M,55,120,172,182,SLG,,2025,B1039
78,BLIZZARD,FIREBIRD TI,162,2,4M,M,50,100,182,192,SLG,C,2025,NO_CODE_51
79,HEAD,WC REBELS e.XSR,163,5,5M/6K,U,50,100,173,183,SL,C,2025,NO_CODE_52
80,HEAD,e-MAGNUM,163,1,6M,M,55,120,173,183,SL,C,2024,NO_CODE_53
81,VOLKL,RACETIGER SRC,163,1,4M/5K,U,50,90,173,183,SLG,C,2025,A00882
82,VOLKL,RACETIGER SRC,163,1,4M/5K,U,50,90,173,183,SLG,C,2025,A00883
83,K2,MINDBENDER RX,163,1,4M,M,50,100,173,183,OFF,,2025,BM77
84,MOLITOR,MASTER M2,163,1,5M/6K,U,55,120,178,183,SL,,2025,B2080
85,SALOMON,E S/MAX 24 ENDURANCE,165,5,4M/5K,U,50,100,175,185,SLG,C,2025,NO_CODE_57
86,KASTLE,RX 12 SL,165,1,6M,M,60,120,180,185,SL,,2025,A00884
87,KASTLE,RX 12 SL,165,1,6M,M,60,120,180,185,SL,,2025,B1211
88,ATOMIC,REDSTER S9i REVOSHOCK,165,1,6M,M,60,120,180,185,SL,,2025,NO_CODE_59
89,BLIZZARD,FIREBIRD TI,166,1,4M/5K,U,50,100,176,186,SLG,C,2025,BQ27
90,BLIZZARD,FIREBIRD TI,166,1,4M/5K,U,50,100,176,186,SLG,C,2025,FO04
91,BLIZZARD,FIREBIRD TI,166,1,4M/5K,U,50,100,176,186,SLG,C,2025,BQ32
92,BLIZZARD,FIREBIRD TI,166,1,4M/5K,U,50,100,176,186,SLG,C,2025,BQ28
93,ATOMIC,REDSTER Q7.8,166,1,5M,M,60,120,176,186,SLG,C,2025,A00886
94,ROSSIGNOL,HERO ELITE MT CARBON,167,1,6M,M,60,120,177,187,SLG,C,2025,A00887
95,KNEISSL,RED STAR RC,168,1,5M,M,55,120,178,188,SLG,,2024,B2179
96,KNEISSL,RED STAR RC,168,1,5M,M,55,120,178,188,SLG,,2024,B2213
97,VOLKL,RACETIGER SRC,168,1,4M/5K,U,50,90,178,188,SLG,C,2025,60953
98,VOLKL,RACETIGER SRC,168,1,4M/5K,U,50,90,178,188,SLG,C,2025,60934
