ID,TYP_SPRZETU,KATEGORIA,MARKA,MODEL,DLUGOSC,ILOSC,POZIOM,PLEC,WAGA_MIN,WAGA_MAX,WZROST_MIN,WZROST_MAX,PRZEZNACZENIE,ATUTY,ROK,KOD
N-0001,NARTY,TOP,NORDICA,BELLE 73,144,1,1,U,20,40,120,140,SLG,,2025,A01428
N-0002,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01429
N-0003,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01430
N-0004,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01431
N-0005,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01432
N-0006,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01394
N-0007,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01391
N-0008,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01395
N-0009,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01396
N-0010,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01745
N-0011,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01746
N-0012,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01747
N-0013,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01573
N-0014,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01748
N-0015,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01574
N-0016,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01749
N-0017,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01575
N-0018,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01750
N-0019,NARTY,TOP,NORDICA,BELLE 73,144,1,,U,,,,,,,2025,A01576
N-0020,NARTY,TOP,HEAD,SHAPE 3.0,149,1,1,U,20,40,50,60,SLG,,2025,A00895
N-0021,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,A00894
N-0022,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,A00896
N-0023,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,GM86
N-0024,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,BW49
N-0025,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,FO89
N-0026,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,DM30
N-0027,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,FO96
N-0028,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,GM84
N-0029,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,FO92
N-0030,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,FO91
N-0031,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,FO83
N-0032,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,DK33
N-0033,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,BR33
N-0034,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2025,DM32
N-0035,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2024,BB27
N-0036,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2024,BB22
N-0037,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2024,BB33
N-0038,NARTY,TOP,HEAD,SHAPE 3.0,149,1,,U,,,,,,,2024,BB32
N-0039,NARTY,TOP,NORDICA,BELLE 73,150,1,1,U,20,40,120,140,SLG,,2025,A01735
N-0040,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01736
N-0041,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01737
N-0042,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01739
N-0043,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01738
N-0044,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01740
N-0045,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01741
N-0046,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01742
N-0047,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01743
N-0048,NARTY,TOP,NORDICA,BELLE 73,150,1,,U,,,,,,,2025,A01744
N-0049,NARTY,TOP,NORDICA,SPITFIRE 73 R,150,1,,U,,,,,,,2025,FO27
N-0050,NARTY,TOP,NORDICA,SPITFIRE 73 R,150,1,,U,,,,,,,2025,GM46
N-0051,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50355730
N-0052,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50395824
N-0053,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50357459
N-0054,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50398538
N-0055,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50405663
N-0056,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50404125
N-0057,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50407331
N-0058,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50395822
N-0059,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50395359
N-0060,NARTY,TOP,NORDICA,ALLDRIVE W 74,150,1,,U,,,,,,,2024,50402714
N-0061,NARTY,TOP,VOLKL,PEREGRINE 7.2,151,1,,U,,,,,,,2025,GJ08
N-0062,NARTY,TOP,VOLKL,PEREGRINE 7.2,151,1,,U,,,,,,,2025,EK51
N-0063,NARTY,TOP,VOLKL,PEREGRINE 7.2,151,1,,U,,,,,,,2025,BL87
N-0064,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO73
N-0065,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DK04
N-0066,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DK03
N-0067,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BR02
N-0068,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO82
N-0069,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00897
N-0070,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00898
N-0071,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00899
N-0072,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00900
N-0073,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00901
N-0074,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00902
N-0075,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00903
N-0076,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00904
N-0077,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00905
N-0078,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BR03
N-0079,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,A00906
N-0080,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BR07
N-0081,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DJ96
N-0082,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BR13
N-0083,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BQ98
N-0084,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DK02
N-0085,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DM38
N-0086,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,GM76
N-0087,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BW60
N-0088,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO67
N-0089,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO77
N-0090,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO71
N-0091,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BW75
N-0092,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,DM40
N-0093,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO72
N-0094,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO78
N-0095,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO74
N-0096,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO76
N-0097,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,FO69
N-0098,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2025,BR00
N-0099,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2024,A00907
N-0100,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2024,A00908
N-0101,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2024,BB50
N-0102,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2024,BB45
N-0103,NARTY,TOP,HEAD,SHAPE 3.0,156,1,,U,,,,,,,2024,A00909
N-0104,NARTY,TOP,NORDICA,SPITFIRE 73 R,156,1,,U,,,,,,,2025,FN94
N-0105,NARTY,TOP,NORDICA,SPITFIRE 73 R,156,1,,U,,,,,,,2025,BW21
N-0106,NARTY,TOP,ATOMIC,MAVEN 84 R,153,1,,U,,,,,,,2025,FN71
N-0107,NARTY,TOP,BLIZZARD,FIREBIRD TI,154,1,,U,,,,,,,,A01498
N-0108,NARTY,TOP,BLIZZARD,FIREBIRD TI,154,1,,U,,,,,,,,A01499
N-0109,NARTY,TOP,BLIZZARD,FIREBIRD TI,154,1,,U,,,,,,,,A01500
N-0110,NARTY,TOP,VOLKL,DEACON S,154,1,,U,,,,,,,2024,A00606
N-0111,NARTY,TOP,VOLKL,DEACON S,154,1,,U,,,,,,,2024,A00656
N-0112,NARTY,TOP,VOLKL,DEACON S,154,1,,U,,,,,,,2024,A00658
N-0113,NARTY,TOP,FISCHER,THE CURV XTR,155,1,,U,,,,,,,2024,A01489
N-0114,NARTY,TOP,FISCHER,THE CURV XTR,155,1,,U,,,,,,,2024,A01490
N-0115,NARTY,TOP,FISCHER,THE CURV XTR,155,1,,U,,,,,,,2024,A01491
N-0116,NARTY,TOP,VOLKL,PEREGRINE 7.2,158,1,,U,,,,,,,2025,BL62
N-0117,NARTY,TOP,VOLKL,PEREGRINE 7.2,158,1,,U,,,,,,,2025,EK57
N-0118,NARTY,TOP,VOLKL,PEREGRINE 7.2,158,1,,U,,,,,,,2025,BL67
N-0119,NARTY,TOP,VOLKL,PEREGRINE 7.2,158,1,,U,,,,,,,2025,FK36
N-0120,NARTY,TOP,VOLKL,PEREGRINE 7.2,158,1,,U,,,,,,,2025,FK20
N-0121,NARTY,TOP,VOLKL,DEACON 7.2,158,1,,U,,,,,,,2024,M190517
N-0122,NARTY,TOP,VOLKL,DEACON 7.2,158,1,,U,,,,,,,2024,M162395
N-0123,NARTY,TOP,VOLKL,DEACON 7.2,158,1,,U,,,,,,,2024,BD01
N-0124,NARTY,TOP,VOLKL,DEACON 7.2,158,1,,U,,,,,,,2024,GB81
N-0125,NARTY,TOP,SALOMON,S/MAX 8,160,1,,U,,,,,,,2023,627816
N-0126,NARTY,TOP,SALOMON,S/MAX 8,160,1,,U,,,,,,,2023,634341
N-0127,NARTY,TOP,SALOMON,S/MAX 8,160,1,,U,,,,,,,2023,A00604
N-0128,NARTY,TOP,BLIZZARD,FIREBIRD TI,160,1,,U,,,,,,,,A01501
N-0129,NARTY,TOP,BLIZZARD,FIREBIRD TI,160,1,,U,,,,,,,,A01502
N-0130,NARTY,TOP,BLIZZARD,FIREBIRD TI,160,1,,U,,,,,,,,A01503
N-0131,NARTY,TOP,BLIZZARD,FIREBIRD TI,160,1,,U,,,,,,,,A01504
N-0132,NARTY,TOP,FISCHER,THE CURV XTR,160,1,,U,,,,,,,2024,A01492
N-0133,NARTY,TOP,FISCHER,THE CURV XTR,160,1,,U,,,,,,,2024,A01493
N-0134,NARTY,TOP,VOLKL,DEACON S,161,1,,U,,,,,,,2025,A00623
N-0135,NARTY,TOP,VOLKL,DEACON S,161,1,,U,,,,,,,2025,A00676
N-0136,NARTY,TOP,VOLKL,DEACON S,161,1,,U,,,,,,,2025,A00680
N-0137,NARTY,TOP,ATOMIC,MAVEN 84 R,162,1,,U,,,,,,,2025,GM00
N-0138,NARTY,TOP,ATOMIC,MAVEN 84 R,162,1,,U,,,,,,,2025,GM01
N-0139,NARTY,TOP,ATOMIC,MAVERICK 84 R,162,1,,U,,,,,,,2025,EN27
N-0140,NARTY,TOP,NORDICA,SPITFIRE 73 R,162,1,,U,,,,,,,2024,FE21
N-0141,NARTY,TOP,NORDICA,SPITFIRE 73 R,162,1,,U,,,,,,,2024,FF03
N-0142,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00910
N-0143,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00911
N-0144,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00912
N-0145,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00913
N-0146,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00914
N-0147,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00915
N-0148,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00916
N-0149,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00917
N-0150,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A00918
N-0151,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A01566
N-0152,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,A01567
N-0153,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO45
N-0154,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO47
N-0155,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW76
N-0156,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,DM51
N-0157,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW77
N-0158,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,DM47
N-0159,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW64
N-0160,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW61
N-0161,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,GM55
N-0162,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ94
N-0163,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,DK13
N-0164,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO52
N-0165,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ90
N-0166,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ79
N-0167,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO43
N-0168,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ87
N-0169,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FR99
N-0170,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO41
N-0171,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ92
N-0172,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ93
N-0173,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,FO44
N-0174,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW65
N-0175,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,DM52
N-0176,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BQ96
N-0177,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,CG55
N-0178,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,DM55
N-0179,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2025,BW67
N-0180,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01627
N-0181,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01628
N-0182,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01629
N-0183,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01630
N-0184,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01522
N-0185,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01487
N-0186,NARTY,TOP,HEAD,SHAPE 3.0,163,1,,U,,,,,,,2024,A01488
N-0187,NARTY,TOP,VOLKL,PEREGRINE 7.2,165,1,,U,,,,,,,2025,BL11
N-0188,NARTY,TOP,VOLKL,PEREGRINE 7.2,165,1,,U,,,,,,,2025,BL12
N-0189,NARTY,TOP,VOLKL,PEREGRINE 7.2,165,1,,U,,,,,,,2025,BL04
N-0190,NARTY,TOP,VOLKL,PEREGRINE 7.2,165,1,,U,,,,,,,2025,BW19
